match_id,group_letter,match_date_utc,venue,home_team,away_team,home_team_model_name,away_team_model_name,home_team_was_resolved,away_team_was_resolved,home_historical_matches,away_historical_matches,home_last_10_points_per_match,away_last_10_points_per_match,last_10_points_per_match_diff,home_last_10_goal_diff_per_match,away_last_10_goal_diff_per_match,last_10_goal_diff_per_match_diff,home_fifa_rank,away_fifa_rank,fifa_rank_diff,home_fifa_points,away_fifa_points,fifa_points_diff,home_squad_status,away_squad_status,home_squad_players,away_squad_players,home_overall_star_power_z,away_overall_star_power_z,overall_star_power_diff,home_attack_vs_away_defense_diff,away_attack_vs_home_defense_diff,home_international_event_matches,away_international_event_matches,home_matched_club_players,away_matched_club_players,expected_total_corners,expected_total_yellow_cards,expected_total_red_cards,has_complete_strength_features,has_complete_squad_features,has_complete_event_features,has_complete_fifa_rankings
58,F,2026-06-25 23:00:00,"GEHA Field at Arrowhead Stadium, Kansas City",Tunisia,Netherlands,Tunisia,Netherlands,False,False,676,877,1.4,2.4,-1.0,0.4,2.4,-2.0,44,7,37,1483.05,1757.87,-274.81999999999994,final_or_near_final,final_or_near_final,26.0,26.0,-2.435,0.223,-2.658,-2.3880000000000003,1.8570000000000002,16,27,7.0,23.0,8.802,4.085,0.12,True,True,True,True
22,L,2026-06-17 20:00:00,"AT&T Stadium, Dallas",England,Croatia,England,Croatia,False,False,1088,394,2.2,2.5,-0.2999999999999998,1.7,2.1,-0.40000000000000013,4,11,-7,1825.97,1717.07,108.90000000000009,final_or_near_final,final_or_near_final,26.0,26.0,0.382,0.925,-0.543,1.553,1.46,27,25,24.0,17.0,9.751,2.973,0.089,True,True,True,True
26,B,2026-06-18 19:00:00,"SoFi Stadium, Los Angeles",Switzerland,Bosnia and Herzegovina,Switzerland,Bosnia and Herzegovina,False,True,882,281,2.1,1.6,0.5,1.7,1.0,0.7,19,65,-46,1649.4,1385.84,263.5600000000002,final_or_near_final,final_or_near_final,26.0,26.0,0.369,-1.13,1.4989999999999999,2.099,-0.061,21,13,23.0,7.0,8.798,3.957,0.267,True,True,True,True
40,G,2026-06-22 01:00:00,"BC Place, Vancouver",New Zealand,Egypt,New Zealand,Egypt,False,False,414,754,0.7,1.8,-1.1,-0.6,0.5,-1.1,85,29,56,1281.57,1563.24,-281.6700000000001,final_or_near_final,preliminary_or_reduced,26.0,27.0,-0.263,0.201,-0.464,-0.169,1.065,5,13,1.0,3.0,9.238,2.558,0.086,True,True,True,True
3,B,2026-06-12 19:00:00,"BMO Field, Toronto",Canada,Bosnia and Herzegovina,Canada,Bosnia and Herzegovina,False,True,467,281,1.7,1.6,0.09999999999999987,0.7,1.0,-0.30000000000000004,30,65,-35,1556.48,1385.84,170.6400000000001,preliminary_or_reduced,final_or_near_final,32.0,26.0,0.336,-1.13,1.466,2.558,-0.038000000000000006,3,13,8.0,7.0,8.017,4.077,0.253,True,True,True,True
14,G,2026-06-15 19:00:00,"Lumen Field, Seattle",Belgium,Egypt,Belgium,Egypt,False,False,851,754,2.2,1.8,0.40000000000000013,2.5,0.5,2.0,9,29,-20,1734.71,1563.24,171.47000000000003,final_or_near_final,preliminary_or_reduced,26.0,27.0,1.377,0.201,1.176,1.528,0.045999999999999985,23,13,21.0,3.0,10.018,2.977,0.135,True,True,True,True
34,F,2026-06-20 17:00:00,"NRG Stadium, Houston",Netherlands,Sweden,Netherlands,Sweden,False,True,877,1099,2.4,1.4,1.0,2.4,-0.2,2.6,7,38,-31,1757.87,1514.77,243.0999999999999,final_or_near_final,final_or_near_final,26.0,26.0,0.223,-1.845,2.068,2.186,-0.8039999999999998,27,13,23.0,15.0,9.324,3.736,0.181,True,True,True,True
13,H,2026-06-15 16:00:00,"Mercedes-Benz Stadium, Atlanta",Spain,Cabo Verde,Spain,Cape Verde,False,True,781,233,2.4,1.7,0.7,2.3,0.7,1.5999999999999999,2,69,-67,1876.4,1366.13,510.27,final_or_near_final,final_or_near_final,26.0,26.0,-0.449,-0.791,0.342,-0.06599999999999998,-0.2250000000000001,24,10,24.0,1.0,9.17,3.183,0.039,True,True,True,True
1,A,2026-06-11 19:00:00,"Estadio Azteca, Mexico City",Mexico,South Africa,Mexico,South Africa,False,False,1000,477,1.4,1.5,-0.10000000000000009,0.1,0.4,-0.30000000000000004,15,60,-45,1681.03,1429.73,251.29999999999995,preliminary_or_reduced,final_or_near_final,51.0,26.0,1.291,-1.94,3.231,1.574,-3.362,15,13,5.0,1.0,9.237,3.44,0.141,True,True,True,True
4,D,2026-06-13 01:00:00,"SoFi Stadium, Los Angeles",USA,Paraguay,United States,Paraguay,True,False,788,782,1.6,1.4,0.20000000000000018,0.1,0.0,0.1,16,40,-24,1673.13,1503.5,169.6300000000001,final_or_near_final,preliminary_or_reduced,26.0,55.0,0.212,-0.935,1.147,0.23099999999999998,-2.258,0,23,12.0,4.0,9.078,3.91,0.147,True,True,True,True
