match_year,tournament,matches,avg_total_goals,avg_goal_margin,home_win_rate,away_win_rate,draw_rate,neutral_match_rate,fifa_feature_coverage,external_feature_coverage
1913,Copa Premio Honor Uruguayo,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1913,Friendly,22,4.182,2.364,0.455,0.364,0.182,0.0,0.0,1.0
1913,Muratti Vase,2,6.5,2.5,0.5,0.5,0.0,0.5,0.0,0.0
1914,British Home Championship,6,2.333,1.333,0.167,0.5,0.333,0.0,0.0,0.5
1914,Copa Premio Honor Argentino,1,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1914,Copa Premio Honor Uruguayo,1,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1914,Friendly,20,4.05,1.25,0.4,0.2,0.4,0.0,0.0,1.0
1914,Muratti Vase,2,3.5,2.5,1.0,0.0,0.0,0.5,0.0,0.0
1915,Copa Lipton,1,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1915,Copa Newton,1,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0
1915,Copa Premio Honor Uruguayo,1,5.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
1915,Friendly,10,5.0,2.6,0.6,0.3,0.1,0.0,0.0,1.0
1916,Copa América,3,3.667,3.0,0.333,0.333,0.333,0.333,0.0,0.667
1916,Copa Lipton,1,3.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
1916,Copa Newton,1,4.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0
1916,Copa Premio Honor Uruguayo,1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
1916,Friendly,16,4.063,2.688,0.688,0.188,0.125,0.0,0.0,0.938
1917,Copa América,6,3.5,2.833,1.0,0.0,0.0,0.5,0.0,1.0
1917,Copa Lipton,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1917,Copa Newton,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1917,Copa Premio Honor Uruguayo,1,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0
1917,Friendly,14,4.214,2.071,0.357,0.429,0.214,0.0,0.0,1.0
1918,Copa Lipton,1,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1918,Copa Newton,1,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0
1918,Copa Premio Honor Argentino,2,1.5,0.5,0.5,0.0,0.5,0.0,0.0,1.0
1918,Copa Premio Honor Uruguayo,2,3.0,1.0,0.5,0.0,0.5,0.0,0.0,1.0
1918,Friendly,11,3.182,2.273,0.727,0.273,0.0,0.0,0.0,1.0
1919,British Home Championship,1,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1919,Copa América,7,3.857,2.143,0.571,0.286,0.143,0.429,0.0,0.571
1919,Copa Lipton,1,3.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
1919,Copa Newton,1,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1919,Copa Premio Honor Argentino,1,7.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0
1919,Copa Premio Honor Uruguayo,1,5.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0
1919,Far Eastern Championship Games,3,2.667,1.333,0.667,0.333,0.0,0.0,0.0,0.0
1919,Friendly,17,4.353,1.647,0.706,0.059,0.235,0.0,0.0,1.0
1919,Inter-Allied Games,6,5.667,3.333,0.833,0.167,0.0,0.667,0.0,0.0
1919,Muratti Vase,1,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
1920,British Home Championship,6,3.833,1.167,0.5,0.167,0.333,0.0,0.0,0.5
1920,Copa América,6,2.667,1.667,0.167,0.5,0.333,0.5,0.0,0.5
1920,Copa Newton,1,4.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0
1920,Copa Premio Honor Argentino,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1920,Copa Premio Honor Uruguayo,1,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0
1920,Friendly,19,3.105,1.632,0.526,0.263,0.211,0.0,0.0,1.0
1920,Muratti Vase,2,1.0,1.0,1.0,0.0,0.0,0.5,0.0,0.0
1920,Olympic Games,7,4.286,2.286,0.857,0.143,0.0,0.714,0.0,0.571
1921,British Home Championship,6,2.167,1.167,0.5,0.167,0.333,0.0,0.0,1.0
1921,Copa América,6,2.333,1.667,0.833,0.167,0.0,0.5,0.0,0.833
1921,Far Eastern Championship Games,2,2.5,2.5,1.0,0.0,0.0,0.0,0.0,0.0
1921,Friendly,29,3.759,1.276,0.31,0.31,0.379,0.0,0.0,0.931
1921,Muratti Vase,2,1.5,1.5,0.5,0.5,0.0,0.0,0.0,0.0
1921,Open International Championship,1,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
1921,Peace Cup,1,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
1922,British Home Championship,5,2.0,1.2,0.8,0.2,0.0,0.0,0.0,1.0
1922,Copa América,11,2.0,1.636,0.455,0.273,0.273,0.545,0.0,0.636
1922,Copa Lipton,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1922,Copa Newton,1,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1922,Copa Premio Honor Uruguayo,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1922,Copa Roca,1,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1922,Friendly,36,3.528,1.861,0.361,0.306,0.333,0.0,0.0,0.833
1922,Muratti Vase,2,5.5,4.5,0.5,0.5,0.0,0.0,0.0,0.0
1922,Peace Cup,1,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
1923,British Home Championship,6,2.833,1.167,0.333,0.333,0.333,0.0,0.0,1.0
1923,Copa América,6,3.0,1.333,0.833,0.167,0.0,0.5,0.0,0.833
1923,Copa Chevallier Boutell,2,1.5,1.5,0.5,0.5,0.0,0.0,0.0,1.0
1923,Copa Lipton,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1923,Copa Premio Honor Uruguayo,2,3.0,1.0,0.0,0.5,0.5,0.0,0.0,1.0
1923,Copa Roca,1,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0
1923,Far Eastern Championship Games,3,4.0,2.667,0.333,0.667,0.0,0.333,0.0,0.333
1923,Friendly,52,3.885,1.692,0.481,0.288,0.231,0.019,0.0,0.846
1923,Muratti Vase,2,3.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0
1923,Peace Cup,1,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1923,Soccer Ashes,1,5.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0
1924,British Home Championship,6,2.333,1.333,0.5,0.333,0.167,0.0,0.0,1.0
1924,Copa América,6,2.5,1.833,0.5,0.167,0.333,0.5,0.0,0.833
1924,Copa Chevallier Boutell,2,3.5,1.5,0.5,0.5,0.0,0.0,0.0,1.0
1924,Copa Lipton,1,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0
1924,Copa Newton,1,4.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0
1924,Friendly,53,3.566,2.019,0.547,0.283,0.17,0.0,0.0,0.906
1924,Muratti Vase,2,1.0,1.0,1.0,0.0,0.0,0.5,0.0,0.0
1924,Nordic Championship,3,5.333,2.667,0.333,0.667,0.0,0.0,0.0,1.0
1924,Olympic Games,17,3.588,2.647,0.824,0.059,0.118,0.941,0.0,0.765
1924,Peace Cup,1,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1925,British Home Championship,7,2.143,1.571,0.286,0.429,0.286,0.0,0.0,1.0
1925,Copa América,6,4.333,2.0,0.833,0.0,0.167,0.333,0.0,1.0
1925,Copa Chevallier Boutell,2,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1925,Far Eastern Championship Games,3,4.0,3.333,0.333,0.667,0.0,0.333,0.0,0.0
1925,Friendly,54,3.352,1.87,0.463,0.37,0.167,0.019,0.0,0.889
1925,Muratti Vase,2,3.0,2.0,1.0,0.0,0.0,0.5,0.0,0.0
1925,Nordic Championship,3,6.0,3.333,0.333,0.667,0.0,0.0,0.0,1.0
1925,Peace Cup,2,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
1926,British Home Championship,6,3.5,2.167,0.5,0.333,0.167,0.0,0.0,1.0
1926,Copa América,6,4.833,3.5,0.333,0.5,0.167,0.5,0.0,0.667
1926,Copa Chevallier Boutell,2,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1926,Friendly,54,4.833,2.056,0.537,0.333,0.13,0.0,0.0,0.778
1926,Muratti Vase,2,7.0,5.0,0.5,0.5,0.0,0.0,0.0,0.0
1926,Nordic Championship,3,3.667,1.0,0.667,0.0,0.333,0.0,0.0,1.0
1927,British Home Championship,7,3.429,0.857,0.143,0.429,0.429,0.0,0.0,1.0
1927,Central European International Cup,4,3.75,1.25,0.5,0.25,0.25,0.0,0.0,0.5
1927,Copa América,2,7.0,5.0,0.5,0.5,0.0,1.0,0.0,0.5
1927,Copa Lipton,1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
1927,Copa Newton,1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
1927,Far Eastern Championship Games,3,4.333,2.333,1.0,0.0,0.0,0.333,0.0,0.333
1927,Friendly,53,4.811,2.66,0.547,0.302,0.151,0.0,0.0,0.811
1927,Muratti Vase,2,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
1927,Nordic Championship,3,4.0,1.333,0.333,0.333,0.333,0.0,0.0,1.0
1928,Baltic Cup,3,3.333,3.333,0.667,0.333,0.0,0.333,0.0,1.0
1928,British Home Championship,6,4.0,1.667,0.333,0.667,0.0,0.0,0.0,1.0
1928,Central European International Cup,8,4.0,1.75,0.75,0.25,0.0,0.0,0.0,0.75
1928,Copa Lipton,1,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1928,Copa Newton,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1928,Friendly,46,3.761,1.457,0.413,0.283,0.304,0.0,0.0,0.848
